session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
61a3ea53bc8f6f1ebc9d977b,5eb052594479b80d3f9cc8fa,APPROVED,2021-11-28 20:45:07.290000,2021-11-28 20:49:12.119000,244.829,20,140,0,100,2021-11-29 13:39:15.470000,19091E12,Slovenia,Slovenia,DATA EXPIRED,Slovenian,"English, Slovenian",Slovenia,Male,DATA EXPIRED
61a3ea5ec9171a611fa54c35,59a119aeec2f75000124ee82,APPROVED,2021-11-28 20:45:23.919000,2021-11-28 20:50:45.232000,321.313,55,771,2,100,2021-11-29 13:39:13.098000,19091E12,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No
61a3ea5ee289ea13b16978f3,60f00d2306d3a444b9cebeea,APPROVED,2021-11-28 20:45:18.527000,2021-11-28 20:51:12.474000,353.947,18,43,0,100,2021-11-29 13:39:14.471000,19091E12,South Africa,South Africa,Other,DATA EXPIRED,"Afrikaans, English",South Africa,Male,Yes
61a3ea62c7584281793ec245,613a731981ce3c31716018be,APPROVED,2021-11-28 20:45:26.209000,2021-11-28 20:48:49.493000,203.284,25,31,1,99,2021-11-29 13:39:08.384000,19091E12,Mexico,Mexico,Part-Time,Spanish,"English, Spanish",Mexico,Female,No
61a3ea634d74c82a8d05c769,60a4cadc8c4109eeeb9fda14,APPROVED,2021-11-28 20:45:23.953000,2021-11-28 20:56:23.769000,659.816,26,38,0,100,2021-11-29 13:39:10.100000,19091E12,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Male,Yes
61a3ea66202646e2adfad488,5fd8d38e72152909d1655f16,APPROVED,2021-11-28 20:45:28.507000,2021-11-28 20:49:54.886000,266.379,22,39,1,100,2021-11-29 13:39:05.453000,19091E12,Spain,Spain,Other,Spanish,"English, Spanish",Spain,Male,Yes
61a3ea67d811a29757c72927,608886445a92c991daa8f03f,APPROVED,2021-11-28 20:45:27.850000,2021-11-28 20:52:59.864000,452.014,20,31,0,100,2021-11-29 13:39:06.891000,19091E12,Mexico,Mexico,DATA EXPIRED,Spanish,"English, Spanish",Mexico,Female,DATA EXPIRED
61a3ea6d3ed54d5bf48d8a4c,613ceea33c37d70e87c5232e,APPROVED,2021-11-28 20:45:36.244000,2021-11-28 20:51:13.388000,337.144,23,37,1,100,2021-11-29 13:39:01.839000,19091E12,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, Spanish, French, English",Portugal,Female,Yes
61a3ea6efedebdf73c20bfba,5c0e94f62932300001e2e0d3,APPROVED,2021-11-28 20:45:34.328000,2021-11-28 20:51:32.706000,358.378,21,287,2,100,2021-11-29 13:39:03.651000,19091E12,Poland,Poland,Unemployed (and job seeking),Polish,"English, Polish",Poland,Male,Yes
61a3ea76122a3eecfe663912,6130073cffd0dc4b1b1bf1b7,REJECTED,2021-11-28 20:45:42.063000,2021-11-28 21:06:17.722000,1235.659,20,29,1,99,2021-11-29 13:38:53.396000,19091E12,Mexico,Mexico,Other,Spanish,English,Mexico,Male,Yes
61a3ea7940bd08bcacd96b31,5edde9874dbf2eb33593981a,APPROVED,2021-11-28 20:46:01.362000,2021-11-28 20:53:20.570000,439.208,21,37,0,100,2021-11-29 13:37:17.901000,19091E12,Latvia,Latvia,Unemployed (and job seeking),Russian,"Russian, English",Latvia,Male,Yes
61a3ea7b00ae7fb165778ae7,613a22eef69b119845fc05bb,APPROVED,2021-11-28 20:45:47.822000,2021-11-28 20:53:49.064000,481.242,24,26,0,100,2021-11-29 13:38:08.214000,19091E12,Mexico,Mexico,Part-Time,Spanish,"Spanish, English, French",Mexico,Male,Yes
61a3ea7cb9a3dd84781b2709,6158701cde28270a24747a2e,APPROVED,2021-11-28 20:45:48.661000,2021-11-28 20:52:00.733000,372.072,23,34,0,100,2021-11-29 13:38:04.609000,19091E12,Italy,Italy,Other,Italian,"English, French, Italian, Spanish",Italy,Female,Yes
61a3ea7e3c03a7f28f614b71,5c4e2d07c401980001ab62d9,APPROVED,2021-11-28 20:45:52.302000,2021-11-28 20:52:21.699000,389.397,29,124,1,99,2021-11-29 13:38:01.424000,19091E12,Mexico,Mexico,Full-Time,Spanish,"Spanish, English",Mexico,Male,No
61a3ea8050f6e17b6aa68be6,5d4459fdfdaaad00180ec101,APPROVED,2021-11-28 20:45:52.273000,2021-11-28 20:50:52.992000,300.719,22,97,0,100,2021-11-29 13:38:03.103000,19091E12,Israel,Israel,DATA EXPIRED,Hebrew,"English, Hebrew, Russian",Israel,Male,DATA EXPIRED
61a3ea83b458ec761a93224d,5f45287094681d0acfdf1f02,REJECTED,2021-11-28 20:45:55.133000,2021-11-28 20:48:53.027000,177.894,25,81,3,97,2021-11-29 13:37:53.512000,19091E12,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English, Spanish",Portugal,Male,DATA EXPIRED
61a3ea84e2ec89a23449408a,5f68f02c41716709ee9be42d,REJECTED,2021-11-28 20:46:02.019000,2021-11-28 20:58:36.199000,754.18,24,111,3,99,2021-11-29 13:37:08.616000,19091E12,Mexico,Mexico,Full-Time,Spanish,"English, Spanish",Mexico,Male,No
61a3f0693a294824bd6e811d,60a524297c7709aab0a3ee48,APPROVED,2021-11-28 21:11:05.889000,2021-11-28 21:16:22.318000,316.429,21,47,1,99,2021-11-29 13:35:59.262000,19091E12,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English, French",Portugal,Male,No
61a3f0696a5a6b6eafd01440,5ee279601029933919b9acb8,APPROVED,2021-11-28 21:11:05.923000,2021-11-28 21:15:02.550000,236.627,24,236,0,100,2021-11-29 13:35:56.684000,19091E12,Poland,Poland,Full-Time,Polish,English,Poland,Male,Yes
61a3f06a528e936a9b6a2a5d,602e701fc970b706e28ed634,APPROVED,2021-11-28 21:11:06.591000,2021-11-28 21:19:48.002000,521.411,18,65,0,100,2021-11-29 13:35:55.170000,19091E12,Poland,Poland,Other,Polish,"English, Polish",Poland,Male,Yes
